"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"SphLip_08",0.0187343868173144,-0.143007941221728,0.180476714856357,0.0204213840554268,0.229807268548838,0.818712054553283,0.901619604381464,-4.9046312582886,0.0187343868173144,0.818712054553283,0.901619604381464,"Sphingolipids","Sphingomyelin","SM(32:1)",NA,NA,"Sphingolipids","ns"
"SphLip_09",0.011708913365864,-0.132954734120232,0.15637256085196,0.311983963849725,0.160585064046549,0.872744935768991,0.918378394475696,-4.91110979974015,0.011708913365864,0.872744935768991,0.918378394475696,"Sphingolipids","Sphingomyelin","SM(33:1)",NA,NA,"Sphingolipids","ns"
"SphLip_10",-0.0118277903535847,-0.0986641154672036,0.0750085347600343,-0.155211099439544,-0.270240322018905,0.787533618221591,0.878205901615743,-4.89978594716494,-0.0118277903535847,0.787533618221591,0.878205901615743,"Sphingolipids","Sphingomyelin","SM(d18:1/16:0)","HMDB10169","C00550","Sphingolipids","ns"
"SphLip_11",0.0148599060825115,-0.0918875206465133,0.121607332811536,-0.034808396292774,0.276189152606202,0.782974118432636,0.878205901615743,-4.8990070831314,0.0148599060825115,0.782974118432636,0.878205901615743,"Sphingolipids","Sphingomyelin","SM(d18:2/16:0)",NA,NA,"Sphingolipids","ns"
"SphLip_12",0.0482692025305699,-0.086672253314242,0.183210658375382,0.139129046850136,0.709696559843223,0.479547784991672,0.658747220435928,-4.79693829175885,0.0482692025305699,0.479547784991672,0.658747220435928,"Sphingolipids","Sphingomyelin","SM(d18:1/17:0)",NA,NA,"Sphingolipids","ns"
"SphLip_13",-0.000552860479941996,-0.11987167320703,0.118765952247146,-0.186421604744,-0.00919294349556253,0.992683553571936,0.993368513927854,-4.917274191328,-0.000552860479941996,0.992683553571936,0.993368513927854,"Sphingolipids","Sphingomyelin","SM(d18:1/18:0)","HMDB01348","C00550","Sphingolipids","ns"
"SphLip_14",0.000859602521364201,-0.115194845170065,0.116914050212793,-0.280785977153085,0.0146954828135032,0.98830447138554,0.993368513927854,-4.91724266008579,0.000859602521364201,0.98830447138554,0.993368513927854,"Sphingolipids","Sphingomyelin","SM(36:2)",NA,NA,"Sphingolipids","ns"
"SphLip_16",0.035273325312032,-0.0934091383172159,0.16395578894128,-0.0698379854295287,0.543844830139746,0.587761566215861,0.737527734530479,-4.84650627016623,0.035273325312032,0.587761566215861,0.737527734530479,"Sphingolipids","Sphingomyelin","SM(38:1)",NA,NA,"Sphingolipids","ns"
"SphLip_17",-0.0205105233918044,-0.134280711290825,0.0932596645072157,-0.307863574346568,-0.357681299884535,0.721337430687603,0.83846890878378,-4.88663536256417,-0.0205105233918044,0.721337430687603,0.83846890878378,"Sphingolipids","Sphingomyelin","SM(d18:2/20:0)",NA,NA,"Sphingolipids","ns"
"SphLip_19",0.0683230519289676,-0.108485683448041,0.245131787305976,0.202758703946123,0.766675362810727,0.445084979518926,0.638281206892525,-4.77692650370372,0.0683230519289676,0.445084979518926,0.638281206892525,"Sphingolipids","Sphingomyelin","SM(39:1)",NA,NA,"Sphingolipids","ns"
